"site","plot","municipality","lv03_x_min","lv03_y_min","lv03_x_max","lv03_y_max","altitude","landuse","parameter","date","refPeriod","survey","measurement","unit"
"29","1","Eschenbach",218000.0,666000.0,220000.0,668000.0,450.0,"Ackerbau","Cadmium","2006-03-23T00:00:00","2006+01:00",5,0.4,"mg/kg TS"
"33","1","Mollis",218000.0,724000.0,220000.0,726000.0,431.0,"Grasland, intensiv","Cadmium","2006-03-27T00:00:00","2006+01:00",5,0.44,"mg/kg TS"
"20","1","Roggwil",262000.0,746000.0,264000.0,748000.0,460.0,"Obstbau","Cadmium","2006-07-11T00:00:00","2006+01:00",5,0.28,"mg/kg TS"
"28","1","Leuggern",268000.0,656000.0,270000.0,658000.0,465.0,"Ackerbau","Chrom","2006-08-09T00:00:00","2006+01:00",5,18.36,"mg/kg TS"
"31","1","Coffrane",206000.0,556000.0,208000.0,558000.0,770.0,"Ackerbau","Cadmium","2006-09-14T00:00:00","2006+01:00",5,0.24,"mg/kg TS"
"86","1","Lützelflüh",204000.0,618000.0,206000.0,620000.0,618.0,"Ackerbau","Chrom","1998-01-05T00:00:00","1998+01:00",3,24.69,"mg/kg TS"
"63","1","Oensingen",236000.0,622000.0,238000.0,624000.0,450.0,"Ackerbau","Cadmium","1998-01-06T00:00:00","1998+01:00",3,0.34,"mg/kg TS"
"54","1","Zuzwil",210000.0,602000.0,212000.0,604000.0,557.0,"Ackerbau","Chrom","1998-01-06T00:00:00","1998+01:00",3,18.37,"mg/kg TS"
"56","1","Trub",200000.0,634000.0,202000.0,636000.0,998.0,"Grasland, wenig intensiv","Cadmium","1998-01-07T00:00:00","1998+01:00",3,0.11,"mg/kg TS"
"53","1","Gempen",258000.0,616000.0,260000.0,618000.0,626.0,"Ackerbau","Cadmium","1998-02-25T00:00:00","1998+01:00",3,0.96,"mg/kg TS"
"67","1","Mathod",176000.0,534000.0,178000.0,536000.0,432.0,"Gemüsebau","Chrom","1998-03-04T00:00:00","1998+01:00",3,52.07,"mg/kg TS"
"69","1","Attalens",150000.0,554000.0,152000.0,556000.0,818.0,"Grasland, intensiv","Chrom","1998-03-04T00:00:00","1998+01:00",3,37.17,"mg/kg TS"
"94","1","S. Antonino",112000.0,716000.0,114000.0,718000.0,209.0,"Gemüsebau","Cadmium","1998-03-17T00:00:00","1998+01:00",3,0.21,"mg/kg TS"
"95","1","Coldrerio",78000.0,720000.0,80000.0,722000.0,336.0,"Ackerbau","Chrom","1998-03-17T00:00:00","1998+01:00",3,32.42,"mg/kg TS"
